제목,본문,답변
게임에서 모욕을 들었습니다.(공개적으로),"게임을 하는데 방제목에 (제닉네임<찐따년) 이렇게 적어두었어요.
그 후 방안에서(비밀방이 아님) 사람들이 왔다갔다하면서 제 욕을 하고 창놈이니 미친년이니 욕설을 했습니다.
정신적으로 너무 힘들어서 죽&@ 고싶어요
방에서 제 욕하고 여러사람들 같이 욕한거 다 캡쳐해둿습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
사이버 모욕죄 고소 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
모욕죄 고소 가능한가요 라고 묻는다면,
안녕하세요. 케이엔파트너스 송무자문팀 이성찬 변호사입니다. 네이버 지식IN을 보면 하루에도 모욕죄 내...
blog.naver.com"
명예훼손 혹은 다른 고소할 방법이 있는지 궁금합니다.,"시작의 발단은 이렇습니다.

저랑 친했던 친구랑 싸우게 되었는데요

평소에 제가 했던 이야기들 그냥 저의 사생활 입니다 예를들면 누구랑 잠자리를 했다라던지 그냥 평범한 일상 이야기 였습니다. 그리고 제 친구가 어떤 남자한테 안좋은 일을 당했는데 제가 너무 그 남자분을 안좋아해서 뒤에서 험담을 하였습니다. 험담을 하던 와중에 그 당사자에게 소식이 들려서 만나서 사과도 하였고 그 남자분과는 더이상 얼굴 붉히는 일은 없었습니다.

그 제 친구였던 애도 그냥 저랑 더이상 연락하지말자라고 해서 더이상 자기와의 인연을 끌고 가지말자라고 했습니다. 그래서 저도 알겠다고 하고 사과하고 평범하게 지냈습니다. 그러던 오늘 갑자기 인스타그램에 저의 대한 스토리가 올라오고 사실이 아닌 말들과 함께 올렷습니다. 

밑 내용과 같습니다 














이러한 일들로 고소 가능할까요? 상당히 기분 나쁘고 제가 사과를 했음에도 삭제를 안해주고 있습니다.  

이 친구와 제 지인들 그리고 제 친구들까지 전부 팔로우 되어있어서 정말 불쾌하고 제 얘기는 귓등으로 들으면서 혼자 참교육이라고 저렇게 올렸습니다. 

물론 저도 나쁜짓 했습니다 어떠한 내용이었냐면 제가 이 친구가 그 남자애한테 안좋은 일을 당했다 그래서 내가 그 남자애를 별로 안좋아한다고 지인들에게 이야기 하였고 그 안좋은 일은 같이 술 마셨는데 남성이 가슴을 만지려고 했었고 그 여자인 친구가 만지지 말라고 해서 안만지고 끝낫지만 저에게 그때 당시에 제 친구한테 그랫다는게 용납이 안되었고 너무 화가나서 지인들에게 이야기 하였습니다. 그리고 당사자도 제가 말한 이야기를 듣고 저에게 와서 따졌고 저도 사과을 다 한 상태입니다.

고소 진행하면 변호사 비용등 금액적인 부분도 알고싶습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
사이버 명예훼손죄 관련 아래 블로그 글을 참고하시기 바랍니다.
사이버 명예훼손 고소 혼자선 쉽지 않습니다
사이버 명예훼손죄 고소장 작성 안녕하세요. 케이엔파트너스 형사법률연구소입니다. 저희 케이엔파트너스 ...
blog.naver.com
형사전문변호사가 말하는 명예훼손죄 처벌 수준!
형사전문변호사가 말하는 명예훼손죄 처벌 수준! 안녕하세요. 케이엔파트너스 형사법률연구소 최성민 변호...
blog.naver.com
모욕죄 고소 가능한가요 라고 묻는다면,
안녕하세요. 케이엔파트너스 송무자문팀 이성찬 변호사입니다. 네이버 지식IN을 보면 하루에도 모욕죄 내...
blog.naver.com
명예훼손죄와 모욕죄에서의 특정성 요건에 관하여
모욕죄의 결정적 요건 피해자 특정성의 모든 것을 정리합니다! 안녕하세요. 대한변호사협회 등록 ""형...
blog.naver.com"
배상명령신청서 작성,"사기피해 당한 것 때문에 배상명령신청서를 작성해야하는데 제가 미성년자라 대리인 쓰는 부분에 부모님 성함 적어도 되는건가요? 아니면 그냥 제 이름 써도 되는건가요? 
그리고 경찰에서 이미 피고인 검거했고, 법원으로 송치한 상황인데 저는 피고인의 정확한 주소와 이름은 모르는 상태입니다. 피고인의 이름과 주소 모른다고 기재해도 상관없는건가요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
배상명령신청 관련 아래 블로그 글을 참고하시기 바랍니다.
배상명령 채권을 추심하거나 집행하려면?
배상명령판결문 강제집행, 채권추심 안녕하세요. 케이엔파트너스 형사법률연구소입니다. 저희 케이엔파트너...
blog.naver.com"
악플 고소 질문이요 급해요,상대랑 어떤 연예인 인스타 댓글에서 싸웠어요. 그분은 인스타 아이디로만 되어있어서 그분 인스타 아이디 언급하면서 욕을 엄청 했는데 그게 고소가 되나요? 그 분은 저한테 욕 한마디 안하고 답장만 했고요. 고소한다는데 이게 가능한가요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
사이버 모욕죄 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
명예훼손죄와 모욕죄에서의 특정성 요건에 관하여
모욕죄의 결정적 요건 피해자 특정성의 모든 것을 정리합니다! 안녕하세요. 대한변호사협회 등록 ""형...
blog.naver.com"
악플 고소 질문,"어떤 욕먹을 짓 한연예인인스타에 욕을 엄청 써 놨고, 응원댓글 있으면 답장하기 눌러서 언급하면서 욕을했는데요. 그 응원댓글 그분은 아이디만 있었고 본명은 없고, 비공개 계정인데요. 그분을 댓글에 언급하면서 욕을 막 했는데 이게 고소가 되나요? 상대는 그 응원댓글 쓴 분이고요. 그 분한테 고소먹는게 가능한가요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
사이버 모욕죄 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
사이버 명예훼손 고소 혼자선 쉽지 않습니다
사이버 명예훼손죄 고소장 작성 안녕하세요. 케이엔파트너스 형사법률연구소입니다. 저희 케이엔파트너스 ...
blog.naver.com
형사전문변호사가 말하는 명예훼손죄 처벌 수준!
형사전문변호사가 말하는 명예훼손죄 처벌 수준! 안녕하세요. 케이엔파트너스 형사법률연구소 최성민 변호...
blog.naver.com"
변호사 선임하고 조사동행 해야할까요?,저가 청소년여자 상대로 인스타 디엠으로 성희롱 발언으로 고소장이 접수되어 조사를 받으러 가야 합니다.. 근데 사전에 피해자 여성분이랑 합의했고 합의금 드리고 합의서 까지 제출 해주신다고 합니다 .. 그래서 담당 형사님끼 물어보니 변호사 동행 해야하나 물어보니까 일단 제일 좋은 합의가 되서 굳이 안 해도는 된다는데 저가 기소유예 받아야 해서 조금이라도 확률을 올리고 싶으면 본인 자유라고 하고 저의 담당 형사님도 변호사 선임 가능하고 같이 올거냐 물어봤는데 저가 피해자랑 합의 됐다고 하니까 그럼 굳이 변호사 선임 할 팔요 없다고는 하는데 어떻게 해야 할까요??,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통신매체이용음란죄 혐의 상황에서 기소유예를 받고자 한다면 변호인을 선임하는 것이 좋습니다.
통신매체이용음란죄(통매음) 관련 아래 블로그 글에 나오는 기소유예 받은 성공사례를 참고하시면 도움이 될 것입니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
롤 하다가 고소 먹을 수 있나요?,중3입니다 롤 하다가 상댜팀이랑 감정애 북받쳐 서로 부모님 욕을 하면서 싸웠는데 상대방이 저를 민사소송 부터 형사소송까지 할거라고 하고 캡쳐꺼지 다 따놓았다고 하더라고요 상대방은 19살에 부동산 하는 사람 같아 보이는데 제가 고소를 먹을 수 있나요? 만약 먹는다면 어떻게 대처를 해야하며 저는 상대방이 저한테 욕 한거를 캡쳐를 못해놓았는데 역고소? 같은것도 가능 하나요? 막상 다 싸우고 보니 무서워서 그럽니다 상대방은 진짜 할 수도 있을것 같은데.... 부모님께 피해 끼치기도 싫은데 어떻게 해야하나요? 답변 좀 주세요 ㅠㅜ,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
사이버 모욕죄 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
명예훼손죄와 모욕죄에서의 특정성 요건에 관하여
모욕죄의 결정적 요건 피해자 특정성의 모든 것을 정리합니다! 안녕하세요. 대한변호사협회 등록 ""형...
blog.naver.com
형사전문변호사가 말하는 명예훼손죄 처벌 수준!
형사전문변호사가 말하는 명예훼손죄 처벌 수준! 안녕하세요. 케이엔파트너스 형사법률연구소 최성민 변호...
blog.naver.com"
인스타 디엠 성희롱으로 합의금 드렸는데,"저가 디엠으로 성희롱 신고를 당라고 경찰한테 전화가 왔습니다 그래서 모든 사실 인정 했고 피해자분이랑 직접 연락하여 합의금 드렸고 합의서 제출 해준다고 했습니다 이제 저가 경찰조사 받으러 가야 하는데 합의됐고 했는데 혹시 빨간줄 끄이나요? 사건이 접수 된 이상 취소는 못한다는데 검사님이 선처를 해줄 수 있는 사항일까요?
아 그리고 조사 받고 나서 저가 법원 가서 재판 받고 그런건가요?ㅠㅠ","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통매음(통신매체이용음란죄) 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
인스타 다엠 성희롱으로 고소 됐습니다 기소유예 가능성,"성희롱 해서 고소 되서 경찰서에서 연락 왔습니다 모든 사실 인정 했고 피해자분이랑 합의하고 선처얻었고 합의금도 지불 하였습니다 근데
저가 2013년? 때 고딩때 동일범죄로 네이버카페 채팅으로 경찰 조사 받은적 있는데 그때도 기소유예로 끝난걸로 아는데 8년이 지난 지금 동일 과로 고소 접수됐는데 기소유예 받기 힘든가요? 피해자분께서 최대한 선처를 해주신다고 하는데 ㅠㅠ","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통매음 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
통매음으로 고소 가능한지 여쭙고 싶습니다...사진첨부(사진 수정),총 3건의 케이스인데...통매음으로 고소 가능한지 여부 여쭙고 싶습니다.,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통매음 관련 아래 블로그 글을 참고하시기 바랍니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
통매음 질문,어제 롤을하다가 저희팀 그브가4데스를 해서 왜케대주냐 라고했는데 통매음으로 고소한다고하는데 고소가 되나요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통신매체이용음란죄(통매음) 관련 아래 블로그 글을 참고하시면 도움이 될 것입니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
사기항소시 배상명령신청 하는법,"2021년 2월경 중고나라 소액 사기로
16만원 당했습니다.

경찰 신고 및 진정서 작성후
기다리면 돈받을수 있을거라 무지하게 생각했는데
1심에서 배상명령신청을 하지 않아
제이름은 빠져 있고 1심이 떨어져 재판 종결되어
포기할려던 찰라 사기꾼이 항소하면
배상명령신청 할수 있다고 알게 되었습니다.

금일 사기꾼이 항소 했던데
본인이 배상명령신청 하면 될까요?


질문 1.항소했는데 배상명령신청 하면되나요?

질문2.배상명령 신청하는법(서류나,양식)

질문3..배상명령 신청시 본인이 가지고 있는 증거
자료와 양식에 맞는 서류 작성후
어디로 보내며. 진행 어떻게 하면 되나요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
형사 배상명령신청 관련하여 아래 블로그 글을 참고하면 도움이 될 것 같습니다.
배상명령 채권을 추심하거나 집행하려면?
배상명령판결문 강제집행, 채권추심 안녕하세요. 케이엔파트너스 형사법률연구소입니다. 저희 케이엔파트너...
blog.naver.com
배상명령신청서, 형사와 민사를 동시에!
배상명령신청서 안녕하세요. 케이엔파트너스 형사법률연구소 입니다. 오늘은 배상명령신청서의 작성방법, ...
blog.naver.com"
"통매음 벌금 후 항소,민사 과정이 궁금합니다","통매음으로 2명을 고소했고
진술할때 합의 하고싶지 않다했습니다
그래서 사과연락 하나도 받지 못한상황이고
둘다 검찰송치 된상태입니다
글을보니 항소라는것도있는데
가해자가 항소진행하면 전 어떻게 대응해야하나요 ?
(2명중 한명은 고소 사실을 알린후에도 저에게 성희롱과,모욕을 하였습니다)
그리고 둘다 너무 괘씸하여 정신적으로 피해를 주고싶어 민사를 진행하려는데 변호사 끼고 진행하는게 나을까요 ?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
통매음 관련하여 아래 블로그 글을 참고하여 도움이 되길 바랍니다.
통매음(통신매체이용음란죄) 기소유예 받아내다!
통신매체이용음란죄 기소유예 처분 성공사례 안녕하세요. 케이엔파트너스 최성민 변호사입니다. 대한변호사...
blog.naver.com"
동업의 해산? 제명?? 도와주십시오ㅜㅜ,"안녕하세요 현재 상대와 2인 공동대표로 미용실운영중인 사람입니다.

상대가 횡령, 그리고 부당한 영업? 등의
신뢰에 금이가는 행동을 계속해서 더는 공동으로 운영하기가 어렵다는 판단하에 제가 계약해지를 요구했습니다.
현재 임대차계약기간은 대략 1년 6개월 이상 남은상황이구요.

문제상황은 이렇습니다.
제가 휴무날에 상대 동업자가 사업자통장이 아닌 개인통장으로 계산을 받은게 적발이됐고
제가 넘어가줬습니다.

또 다음문제는 미용실 특성상 지명이 아니면 신규고객은 순번에 의해 나눠서 배정을 하기로 합의했고
그렇게 영업중이었습니다. 그런데 상대가 신규고객을 지명처럼 속여서 예약받다가 저에게 적발이 됐구요.
도저히 동업을 이어갈 수 없는 행동이 반복이됐습니다.

상대도 저런 행동을 한 부분에 대해서 모두 인정했습니다.
그래서 계약해지를 요구했고. 상대도 동의했습니다.
그런데 저는 동업해산(영업장 청산)을 요구하고
상대는 영업장 청산은 안된다는 입장입니다.

혹시 이런경우
1. 소송으로가면 제가 이길수있을까요??
2. 혹시 저한테 동업상대를 제명시키거나
사업장을 청산할 권리가 있나요??
3. 조합 탈퇴,제명시 지분환급은 해줄생각인데
지분환급이 분할환급이아니라 무조건 즉납을 해줘야할까요?

지금처럼 임대차계약이 많이 남아있는 상황에서
더는 이사람이랑 일을 하고싶지 않은데 어떻게하면 좋을까요??
출자금은 정확히 50대50이고
계약서도 작성해서 나눠가졌습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
동업해산, 제명 관련해서 아래 블로그 글을 참고하여 도움이 되길 바랍니다.
동업계약 파기 상황을 앞두고 있다면
동업계약파기 안녕하세요. 케이엔파트너스 민사소송연구소입니다. 오늘은 ""동업계약파기""에 대해...
blog.naver.com
병원 동업계약 파기의 해결을 원한다면
""친구끼리는 함부로 동업하는 것이 아니다""라는 말이 있죠? 하지만 사업진행을 위해서는 불가피...
blog.naver.com"
세입자 계약종료 도망 고소방법,3년 계약 했고 6년 살다가 연락이 안되서 확인하니 도망 갔더라구요 보증금도 버리고.. 집 열어보니 쓰레기로 가득한데 처벌할 방법이 있을까요?,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
세입자 계약종료 명도소송 손해배상 등 관련해서 아래 블로그 글을 참고하시기 바랍니다.
명도소송, 부당이득 vs 손해배상
명도소송, 부당이득 vs 손해배상 안녕하세요. 케이엔파트너스 부동산 법률 연구소입니다. 대한변호사협회 ...
blog.naver.com"
채권압류 추심 관련,"저희 회사(채권자)가 채권압류및추심 진행중입니다
법무사 통해서 통장압류신청을 했구요
우편으로 결정정본을 받았는데 그뒤에 무엇을 해야하는지 알고싶습니다
사장님께선 결정정본을 받았으니 서류 챙겨서 제3채무자인 은행으로 가면된다고 하던데

여기저기 알아본걸론
법원홈페이지에 사건검색으로 제3채무자인 은행이 법원에 회신서 진술서를 제출했는지 확인 후에 가야된다고 하더라구요
회신서제출도 몇주 걸린다고....
사건검색해보니 회신서 제출이 돼있지 않은데 은행 가도 할수있는건 없지 않나요??

1. 결정정본 받은 이후에 무엇을 해야하는지
2. 회신서 제출 여부 상관없이 은행에 가도 되는지....

처음 해보는 일이고 검색해도 사람들마다 말이 다르니 어떻게 해야할지 모르겠습니다
쉽게 알려주셨음 합니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
채권압류추심명령 관련해서 아래 블로그 글을 참고하시면 도움이 될 것 같습니다.
채권압류 및 추심명령 어떨 때 필요한가
채권압류 및 추심명령 안녕하세요. 케이엔파트너스 법률연구소입니다. 오늘은 채권압류 및 추심명령에 대한...
blog.naver.com"
차용증 없이 빌려준돈 못받고 있습니다.,"4년수개월 전 5백만을 계좌이체로 빌려준후
3개월전 50만원받고 현재 80만원 남은 상황입니다.
제 연락안받고 있어서 어떻게 해야할지 너무 화가납니다.
채무관련 통화녹음, 카톡대화는 충분히 있습니다.
상대방 집주소와 사업체주소 알고있습니다.","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
대여금 관련하여 아래 블로그 글을 참고하시면 도움이 될 것 같습니다.
대여금반환, 받기!!
친구 혹은 가족, 아니면 아는 지인과의 사이에 금전적인 부분이 오고가면 상황에 따라서는 관계가 틀어질 ...
blog.naver.com
대여금!! 사기죄로 성립될 수 있을까?!
안녕하세요. 오늘 케이엔파트너스에서는 '대여금!! 사기죄로 성립될 수 있을까?!'에 대한 이야기...
blog.naver.com"
돈 못 받을 때,"토토를 하는 친구에게 31만원을 빌려줬고
그 중 10만원만 받은 상황입니다.
그 친구의 추후 인생의 걸림돌이 될 만하게
할 방법이 있을까요?

문자로 내용증명이 되는 금액은 12.5만원 입니다.
나머지 금액은 입금내용은 있지만 문자내역 같은게 없어서 포기한 상태이구요.

법잘알 분들 조언 부탁드려요","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
대여금 관련하여 아래 블로그 글을 참고하시면 도움이 될 것 같습니다.
대여금반환, 받기!!
친구 혹은 가족, 아니면 아는 지인과의 사이에 금전적인 부분이 오고가면 상황에 따라서는 관계가 틀어질 ...
blog.naver.com
대여금!! 사기죄로 성립될 수 있을까?!
안녕하세요. 오늘 케이엔파트너스에서는 '대여금!! 사기죄로 성립될 수 있을까?!'에 대한 이야기...
blog.naver.com"
상속포기 인용 후 대여금 민사소송과 추완항소에 대한 질문,"2001년10월 모친사망후 11월02일 접수(미성년자라 법정 대리인[할머니]이 접수)
2002.3.15 종국:인용 처리되었습니다

다만 2001.10.17 채권 가압류
2002.04.17 압류 추심명령이 집행되었으며
채권가압류: 2002.7.13일 해제
압류 추심명령: 4.18일 결정정본 송담 7.12일 추심포기서 제출 되었습니다

2002.5.23일 또다른 채권자가 가압류없이 바로 본압류 전이하는 채권압류 및 추심명령을 하게되고
2002.5.24일 인용 25일 결정정본송달
2002.5.24일 대여금반환소송 원고인용 송달완료(할머니)
10년후
2012.4.17 대여금 반환목적으로 민사소송
2012.4.24일 폐문부재
2012.5.17 이사불명 보정명령
2012.6.20 이사불명
2012.7.6 소장 안내서 변록기일 통지서 공시송달
2012.7.25 판결선고기일통지 공시송달
2012.8.23원고 피고 판결정본 송달 공시송달
9년후
2021.5.25 원고 집행문 송달 확정증명
2021.7.12 재산명시명령서 송부

현재2012.7.19일에 재산명시 명령서를 보고 인터넷으로 12년 사건 검색을 해서 알게 된 상황인데요
추완항소 후 민사 소송을 하려고 합니다
상담내역은
1.추완항소 요건이 충족이되나요?
2.2002.3.15 상속포기 인용이 되었는데 민사소송에 대응해야하나요?12년재판에서 상속포기 결정서를 제출하지않아서 원고승소가 난걸까요?
3.만약 추완항소 후 원고패소(제가 이길경우) 변호사 수임료에 대해서는 원고의 몫인가요 저의 몫인가요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
상속포기 한정승인 대여금 소송과 관련해서 아래 블로그 글을 참고하시면 도움이 될 것 같습니다.
한정승인 및 상속포기, 총정리!
안녕하세요. 케이엔파트너스입니다. 오늘은 '한정승인 및 상속포기, 총정리!'라는 주제로 포스팅...
blog.naver.com
대여금반환청구소송을 진행할 때
안녕하세요. 케이엔파트너스입니다. 누군가에게 돈을 빌려주었지만 아직까지 채무자가 돈을 갚지 않는다면 ...
blog.naver.com"
지인에게 코인투자 사기당했어요.,"한창 1차 코인열풍이 불던 18년도에 시누의 시동생에게 코인채굴과 코인투자에관련된 이야기를 듣고 투자도 했었습니다. 코인 대폭락장이 왔을때 시누 시동생이 코인을 개발해서 상장할거라며 투자를 하면, 투자금을 개발한 코인으로 돌려주고 코인거래소에 상장 시 최소 2~3배의 수익을 얻을 수 있을거라고 했습니다.
코인이 폭락하고 있긴했지만 코인관련해서 거의 전문가처럼 말을했고, 시누남편도 투자하며 적극권유를 했기에 믿고 1500만원을 계좌로 입금했습니다.
계약서 당연히 없구요...
이후 개발한 코인이라며 사이트를 알려줬구요.
거래소에 상장되기를 기다렸지만 기다리라는 말만하더니 이후 아무 조치도 없었습니다.
그제서야 원금 돌려달라고 했으나, 준다 준다 하다가 이제는 연락도 안됩니다.
저희 말고도 친척분이 더 큰 금액을 투자했구요..
사기로 소송 시 돈을 돌려받을 가능성이 있을까요?
소송이 가능하긴 할까요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
코인리딩방사기, 주식리딩사기 등과 관련하여 아래 블로그 글을 참고하시면 도움이 될 것 같습니다.
주식사기, 주식리딩방 사기를 당했을때 내 돈 되찾기,(법적 방법)
주식사기, 주식리딩방 사기 당했어도 정신차리고 대처만 잘 하면 내 소중한 돈을 되찾을 수 있습니다 지난 ...
blog.naver.com"
상대방(모르는 사람)이 계좌번호를 착각하여 압류 된 통장에 송금을 잘못했습니다,압류 된 통장은 사용을 하지 않고 있는데 잘못 송금 한 사람때문에 해지를 할려고 하니 해지비용을 내야 된다고 합니다 상대방한테 해지비용을 청구해도 되는지 궁금합니다,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
착오송금, 횡령죄 등과 관련하여 아래의 블로그 글을 참고하시면 도움이 될 것 같습니다.
판례 속 이야기<착오송금과 횡령죄>
안녕하세요. 케이엔파트너스입니다. 오늘은 판례를 통해 착오송금과 관련하여 횡령죄에 대해 설명할 건데요...
blog.naver.com"
사기 1심 판결 이후 배상명령신청 돈 받을 수 있나요?,"사기 당해서 경찰에 신고접수 했는데
시간이 지나 잡힌 줄 모르고 판결 다 난 다음
법원쪽에서 문자와서 알게 되었습니다
1심 판결 받았고 그 이후 배상명령신청 작성해서 보냈는데
사기꾼은 항소 준비한다고 하던데
어떻게 하면 돈을 받을 수 있을까요? ㅠㅠ","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
배상명령신청, 배상명령 강제집행에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다.
배상명령판결문으로 강제집행, 채권추심하는 방법
배상명령판결문 강제집행, 채권추심 안녕하세요. 케이엔파트너스 형사법률연구소입니다. 저희 케이엔파트너...
blog.naver.com"
무고 선고가 무슨 뜻인가요?,"제목 그대로 무고를 선고받았다 이게 무슨 뜻을 의미하나요?

무고 선고와 무고죄에 대해서도 알려주세요!","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
무고죄란  타인으로 하여금 형사처분 또는 징계처분을 받게 할 목적으로 공무소 또는 공무원에 대하여 허위 사실을 신고하는 죄(형법 156조)를 말합니다.
이러한 무고로 형을 선고받았다는 말을 문언대로만 살펴보면 형사재판에서 판사가 피고인이 무고죄를 범하였다는 것을 인정하여 유죄를 선고했다는 말입니다."
재산명시 관련 질문,"법원으로부터 재산명시 등기가왔는데
날짜가없습니다.

해당법원에 전화해서 물어봐야되나요?

남편인 재가 와이프대신 출석가능한가요?","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
법원에 물어보면 되고, 대신 출석은 불가합니다."
명도소송 상대,"1.대표자 사망으로 과점주주인 저에게 명도 소송을 한다고 합니다. 법인과 법인이 임대차 계약을 했는데 저에게 명도 소송이 가능한지요

2.등기부 등본 상에는 사내이사로 되어 있지 않고 다른분들이 사내 이사로 등재 되어 있습니다. 과점주주로 명의만 되어 있고 실질적으로 출근한적은 없으며 사내이사분들이 경영을 하였습니다
정관에 과점주주인 저에게 권리와 연대책임이 있다고 합니다 전 정관을 본적이 없습니다 저에게 명도소송 및 미납임대료도 달라고 합니다","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
법인과 이사는 다르기 때문에 이사가 법인의 점유보조자가 될 경우엔 명도소송의 피고가 될 수 없고, 독립된 점유권원에 의하여 점유할 때에는 이사라 하더라도 명도소송의 피고가 될 수 있습니다."
명도소송 하고 싶습니다.,"안녕하세요

얼마전 월세 카테고리에 질문 하니 답변이 없어서 다시 질문 해봅니다...

2017년 9월15일 법무사 사무실에서 기초생활 수급자 신청에 필요한 서류라 하면서

작성 해야 한다하여 서명을 하고 도장을 주었습니다.

그 당시 뭐 작성 하냐고 물으니 무상거주 한다는 확인? 이런거라 답변을 받은 기억이

있으며 서명 해준 서류도 월세 계약서는 아니였던 것으로 기억 하고 있었으나...

서로 사이가 불편 해지고 본인 형편상 집을 정리 하려고 알아보던중

군청 민원 상담중 월세계약서가 제출 되어 있는것을 알게 되었습니다.

월세계약서 정보공개 요청을 하였으나 국민기초생활 보장법 및 주거급여법에 따른 목적 외 사용금지

이유로 비공개결정 답변을 받았습니다.

국세청 민원으로 상가건물임대차 현황서 발급을 하였으나 확정일자 임대차 계약 해당없음 발급

받았고요 대법원 인터넷 등기소 열람을 하였으나 임대차 계약은 없습니다.

몇몇 법무사에 문의 하니 계약서 없으면 명도소송이 힘들다? 답변을 받았는데요

건물주도 기억에 없던 월세계약서...

또한 2017년 10월분 부터 단 한번도 받지 못한 월세... 보증금 일천만원에 월세 15만원 이라 하더군요.

이것도 군청에 민원 신청하니 임차인이 본인이 매달 집에 찾아와서 현금 으로 월세를 받아 갔다고

말도 안되는 소리를...

임차인 으로 되어 있는분은 2017년 9월18,19일 인가 전입신고는 했더군요.

제가 궁금한건 명도소송은 가능 한지? 어떻게 진행을 하면 되는건지?

몇몇 법무사에서 힘들 다는건 무슨 소리인지...

어휴 명도소송 하고 싶습니다. 방법을 알려주세요...","안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.
꼭 계약서가 있어야만 명도소송을 할 수 있는 것은 절대 아닙니다. 피고로 삼을 자와 진정한 계약관계에 있었는데 그 계약이 종료되었거나 해지되었음을 이유로 하는 명도소송을 제기할 때 해당 계약서가 필요한 것이고, 그렇지 않고 무단 불법 점유를 하는 피고에 대한 명도소송은 그러한 계약서 자체가 애초부터 존재할 수가 없기 때문에 계약서조차 필요하지 않을 것입니다. 아예 알지 못하는 무단불법점유자에 대한 명도소송은 가능합니다. 근처 변호사 사무실 같은 곳을 방문해서 유료로 법률상담 받아보기 바랍니다."
