제목,본문,답변
핸드폰 어플로 방보고 계약후에,다방으로 집본후에 갔었는데 제가 봣던거 처음부터 모두 다 허위매물이여서 볼거 자체가 없었어요그러다 인터넷에서는 6565올라와있던 방을 보면서 이런거면 괜찮을텐데 했었는데 그건 있다고 보여주면서 가격은 7079로 말했었어요 그렇게 계약하고 몇달 살았는데 똑같이 지금은 5555올라와있고 관리비 모두 포함해서 월세등 합계 총 65만원이면 모두 해결 가능하다 글이 올라왔어요 똑같은 빌라같은 층다른방 왜 이방으로 비싼대 계약을 한거냐 하시는분들은요 제가 이번에 22살되고 첫 자취입니다 인터넷비 이런거해서 다 만원으로 해주고 월세높히고 보증금 높혀라 그러면 뭐 중개수수료 덜받아주겠고 자기가 주인아줌마한테 말해서 더깎아주겠다 이런식으로 이거 사기 아닌가요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다가격을 시가보다 높다고 이야기 하고 판매한 행위도 사기죄가 성립하지 않습니다 위와 같은 경우에는 서로가 합의를 통하여 이루어진 것이므로 특별한 사정이 없는 한 사기죄가 성립하기 어렵습니다 혹여 다음에도 방을 알아보시는 경우가 생기신다면 차임이나 보증금 등을 잘 알아보시고 하시는 것을 권해드립니다 아무쪼록 일이 잘 해결되기를 바랍니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
중고나라 사기에 관해 물어보고 싶어서 질문합니다,중고나라 사기당한것 같습니다이경우 어떻게 대처를 하면 될까요입금 되고 난뒤부터 문자확인도 늦고 거의 답변이 늦습니다전화할 때 받긴하는데 일이 있다는 둥 뭐 한다는 둥 변명만 늘어놓고택배를 못보낸다고 하더니 이번엔 동생한테 시켜서 보냈다고 해놓고는영수증이 올때까지 기다려달라고 하고는 8시간을 넘게 기다리게 하네요짜증나서 됬고 거래 취소하고 입금하라고 계좌 보내놨는데 답변도 입금도 없는 상황입니다이거 사기인거 맞죠일단 문자 내역외에 통화내역도 가지고 있습니다경찰서에 가서 고소하는게 맞을지요당장 물어볼떄가 없어서 물어봅니다 , 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다사기죄가 성립하기 위해서는 가해자의 기망행위와 기망에 따른 피해자의 처분행위가 요구됩니다 사안의 경우 상대방이 물건을 매도할 의사 없이 돈을 받은 것이라면 사기죄가 성립하나 계약 이후 추후 사정이 생겨 물품을 보내지 않은 것이라면 사기죄가 성립합니다 처음부터 매도 의사가 없다고 생각되신다면 경찰서에 가셔서 사기죄로 고소하시면 되리라 생각됩니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
전세 보증금 일부만 반환,오늘이 전세기간종료인데 세입자가 수리비가 너무 많다면서 제시한금액의 일부만 줄 수 있다고 합니다 제가 보증금에서 제가 생각하는 수리비를 공제하고 입금하면 법적 소송을 히겠다고 합니다50만원가지고 싸우꼬 있어요 이경우 세입자가 형사상으로도 소송을제기할수있나요 그런거없다면 그냥 제가 생각힌금액 공제히고 나머지 보증금 입금시키려구요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다형사상으로 소송을 제기할 수는 없으나 민사상으로 소송을 제기할 수는 있습니다 과다 수리비로 공제된 보증금 이자 및 기타 비용등에 관하여 민사소송으로 청구할 수는 있음을 고려하시어 대처하시길 바라겠습니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
빌려간 핸드폰 반환거부시 가능한 법적조치,알고 지내던 놈에게 제 명의로 휴대폰을 개통하여 빌려주었습니다 얼마 후 제게 빌려간 돈을 갚지 않으려고 잠적했고 저는 휴대폰을 정지시켰으나 그놈은 고객센터에 전화해 저를 사칭하고 정지를 풀어 계속 사용중입니다휴대폰이 그놈에게 있어서 2차 비밀번호 설정이 불가능해 정지 해제를 막을 방법이 없습니다 통신사와 상담해봤지만 2차 비밀번호 설정 외엔 타인이 명의인을 사칭하는 걸 막을 방법이 없으니 해지하랍니다남은 할부금 40여만원이 부담되지만 이후 범죄에 이용되거나 할 가능성 때문에 해지를 하려고 합니다 위약금 잔여 할부금의 책임은 명의를 빌려준 저에게 있음을 압니다만두번이나 고객센터에 저를 사칭해 정지를 풀고 사용한 행위 휴대폰 반환을 거부하고 잠적한 것에 대한 책임을 민사 말고 형사로 물을 수는 없는 건가요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다빌려준 것에 대해 반환을 거부할 경우에는 횡령죄가 성립할 수 있습니다 따라서 횡령죄로 신고하신 후에 피해물품을 수사기관으로부터 반환 받으실 수 있으리라 생각됩니다 핸드폰을 속히 돌려받으셔서 2차 피해가 없으시길 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
원룸 살던 사람이 돈을 안내서 차용증을 썻는데 또 잠수 탔어요,원룸을 운영했었는데 지금은 지하철이 저희 집쪽으로 개발되어 원룸은 없어진 상태입니다계약서를 쓰지않고 입주한 사람이 있엇는데 돈을 정말 안냈어요월세 25만원인데 350정도 밀리고 꾸역꾸역 조금씩 받아서 이제 170이 남았는데저희 원룸이 철거를 해야해서 남은 돈은 차용증을 쓰고 두달에 나눠서 주기로하고 차용증까지 썼고지장을 찍고 서로 한부씩 보관하고있습니다저번달에 이제 돈이 들어오지않아 전화를 했더니 이번달에 설 보너스 나오면 한번에 다 주겠다고한번만 더 기다려달라고하더니 아예 이제 연락이 안되네요이런 경우 어떻게해야하나요 저는 평일엔 일을 하고 연차도 없어서 정말 괘씸해서 신고하고싶은데사기죄로 경찰에 신고하는게 좋은가요 소액민사소송을 해야하는게 좋은가요그리고 제가 한번씩만 다녀오면 되는건가요 계속 왔다 갔다 할 순없는데 관할법원 진행사항1심2심3심 청구금액, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다사기죄가 성립하기 위해서는 가해자의 기망행위 및 기망에 따른 피해자의 처분행위가 필요합니다 따라서 처음부터 변제의사 없이 돈을 빌린 경우에는 사기죄가 성립하나 그렇지 않을 경우에는 사기죄가 성립하지 않습니다 사안의 경우에는 상대방이 돈을 조금씩 갚고 있던 점을 고려할 때 사기죄가 인정되기는 어려우리라 생각됩니다 따라서 민사소송으로 청구하시는 것이 좋으리라 생각됩니다 금액이 크지 않으므로 소액사건이나 지급명령 절차 등을 이용하실 수 있습니다 이러한 절차는 시간이 오래 걸리지 않으므로 그렇게 큰 시간과 비용이 소요되지는 않을 것으로 생각됩니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
12년된 형제간 채무,12년된 형제간 돈을 빌려주고 차용증 작성했습니다이자는 몇년 지난후부터 현재까지 받고있으나12년지난 현재까지 원금회수가 안되고 있고차용증도 12년이 지났는데 나중에 혹시 법적으로 문제가 없을까요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다대여금채무의 소멸시효는 10년입니다 따라서 대여하신 후에 아무런 조치를 취하지 않은 경우에는 소멸시효가 완성되어 채무가 소멸합니다 다만 특별한 사정이 없는 한 채무자가 이자를 지급하는 경우 채무승인으로 보아 소멸시효가 중단이 됩니다 그러나 혹시 발생할 수 있는 분쟁을 방지하시려면 새로운 문서로 채무관계를 확인하시는 것도 좋으리라 생각됩니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
안녕하세요 변호사님,저는 아무것도 안하다가 정신병원을 찾아갔는데상담해서 제가 가고 싶지않았는데 강제입원을 당해서 4개월동안 입원했습니다 그리고 저를 정신 병원에 강제입원 당했고 퇴원하고 나서도 작년에 아무것도 안하다가 병원에 앉아서기다리다가 갑자기 다른사람들이 강제로 끌고가강제입원을 당한적이 있습니다그때 이후로 정신병원이라는곳은 저에게 트라우마가 됬습니다그러나 큰아버지가 저에게 또 자기에게 잘하지못하면강제 입원 시킬거라고 협박하는데 어떻하면 좋나요, 로톡  이종찬 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 이종찬 입니다997인신보호제도 통합콜센터  16619797에 문의해보세요질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
중고폰 판매 후 환불요청,안녕하세요중고폰 판매 후에 12일이 지난 시점에서 구매자가 핸드폰 구동이 안된다면서 환불을 요청해왔습니다 그런데 구입당시에 모든기능 정상작동하는거 직거래로 확인시켜줬고 7일내로 문제가 있어서 연락주시면 환불해주겠다고 했었습니다 그런데 12일이 경과한 시점에서 핸드폰이 구동이 안된다며 환불을 요청하길래 구매자분이 직거래로 기능 다 확인하시고 구입했고 12일이라는 시간이 경과한 후에 연락이 왔기때문에 환불요청을 거절하였습니다1 이 경우 제가 환불요청을 받아줄 의무는 없다고 생각되는데 맞나요2 구매자가 경찰청에 민원을 넣은 상황입니다 저는 형사적으로 저의 잘못이 전혀 없다고 판단하는데 문제 없겠죠3 추후에 제가 경찰서에 가서 심문을 받는 상황이 생기고 저의 잘못이 없는 것으로 판명된다면 구매자에게 저의 그동안의 정신적 보상과 경찰서 오고가는 물리적 비용을 보상청구하고 싶은데 가능할까요답변기다리겠습니다, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다1 자세한 사정은 알지 못하나 구입당시에 매수인이 모두 확인하였다면 특별한 사정이 없는 한 환불의무는 없다고 생각됩니다2 사기죄가 문제될 수 있으나 고장난 핸드폰을 작동한 것으로 속여 판매한 것이 아니라면 문제될 것이 없습니다3 상대방이 일부러 무고행위를 하지 않은 이상 인정되기는 어렵다고 생각되고 인정된다 하더라도 금액이 크지 않을 것으로 생각됩니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
아버지 빛으로 소송이 걸렸는데 어떡해야하나요,20년 전 아버지와 어머니가 이혼하고 얼마전에 아버지가 돌아가셨습니다빛이 있다는 얘기를 듣고 상속재산포기각서를 썼는데요1년 쯤 되서 저에게 소송이 걸렸습니다아버지가 207년 채권자에게 각서를 썼고 지금까지 체불되면서 아버지가 돌아가자아들인 저에게 온 것 같습니다문제는 제가 이 소송을 어떻게 어떻게 처리해야할지 모르겠습니다재산포기각서의 효력이 정확히 무엇이고 소송을 진행하라 안내장이 왔는데 그렇게 해야되나요알려주심 감사하겠습니다 관할법원 진행사항1심2심3심 청구금액, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다민법 1019조 제1항에 따르면 상속인은 상속개시있음을 안 날로부터 3월내에 단순승인이나 한정승인 또는 포기를 할 수 있습니다 이는 단순히 포기각서를 쓰는 것이 아니라 가정법원에 상속포기를 신청하셔야 합니다 그렇지 않다면 포기의 효력이 인정되지 않을 수 있습니다다만 제3항에 따르면 제1항의 규정에 불구하고 상속인은 상속채무가 상속재산을 초과하는 사실을 중대한 과실없이 제1항의 기간내에 알지 못하고 단순승인제1026조제1호 및 제2호의 규정에 의하여 단순승인한 것으로 보는 경우를 포함한다을 한 경우에는 그 사실을 안 날부터 3월내에 한정승인을 할 수 있다고 나와 있습니다 아버지의 채무를 피할 수 있는 방법이라고 생각되는 것은 중대한 과실 없이 채무를 알지 못하였으므로 한정승인을 주장하며 법원에 한정승인을 신청하는 것입니다 법원에 한정승인을 신청하시고 질문자님께 제기된 소송에서 한정승인을 주장하시는 것이 좋으리라 생각됩니다제가 자세한 사정은 알지 못하므로 자세한 내용은 전문가와 상담받으시고 제 답변은 참고만 하시길 바라겠습니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
소유권 이전등기 청구의 소에서 당사자피고추가 문제,    4인 명의로 종중 부동산을 등기하였습니다 이 4인이 모두 십수년전에 사망하였고 상속자수도 많고 상속인 인적사항파악도 어려워 각 상속 대표에게명의신탁계약해지통고와 소유권 이전등기를 해줄것을 요구하였으나 모두  부동산의 종중소유는 인정하나 서류의 구비등의 문제로 원할하게 상속 및 종중으로 소유권이전이 이루어지지 않아서 법원에 명의신탁계약해지를 원인으로하는 소유권이전등기 청구소송을 하였습니다처음 소장접수 당시에    3인의 상속인 15명은 모두 파악하였으나 의 상속인은 모두 알수없어 의 상속인중 2인만을 피고하여 모두 17명을 피고로 소장을 접수하였습니다이후 법원의 사실조회 신청을 하여 의 상속인을 모두 파악하였고그후 법원에 의 상속인 5명을 피고로 추가하는당사자피고추가 신청서를 접수했습니다 그런데 법원에서 당사자 추가신청을 불허한다는 결정을 받았습니다법원에서 이사건의 경우  민사소송법 68조 제1항과 67조 제1항의 규정에 의한 고유필수적 공동소송에 해당하지 아니하므로 원고의 당사자 추가신청은 이유없다고 할것이다이렇게 결정을 했습니다1 제가 당사자 추가신청서에  민사소송법 68조 1항에 의하여 당사자피고의 추가를 신청한것이 잘못인지2 이 소송사건에서 의 상속인 5명을 피고로 추가하여 그 지분의 소유권이전을 더는 청구할수 없는 것인지3 의 상속인 5명을 피고로추가할수 있다면 그 신청은 어떻게 해야하는지 궁금합니다, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다위와 같은 소송은 고유필수적 공동소송이 아닌 통상공동소송이므로 판례에 따를 때 기존 소송에서는 피고 추가를 하실 수 없습니다 따라서 누락된 피고를 대상으로 새로이 소를 제기하시는 방법으로 진행하셔야 합니다 절차를 간편하게 하시길 원하신다면 새로이 소를 제기하시고 법원에 병합신청을 하시는 것도 좋으리라 생각됩니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
넷상에서의 명예훼손에 대한 민사소송,유튜브에서 영상과 댓글을 보다가 궁금해서 질문해 봅니다라는 사람이 에 대한 안좋은 소문사실인지 거짓인지 불확실과 실제로 가 행한 안좋은일을 묶어서 는 나쁘다 라는 식의 영상을 올렸습니다이 영상에서는 의 실명과 나이가 언급됨 그런데 이때 라는 사람이 나타나서 영상을 만든 를 명예훼손죄로 민사소송을 걸겠다고 말하게 됩니다 이때 는 의 영상이 맞는거 같다고 하는 다른 여러 네티즌들과 의 말에 말도안되는 소리하지 말라는 다른 여러명의 네티즌들까지 싹다 민사소송을 넣어버리겠다는 얘기를 합니다사건은 여기까지고 정말 궁금해서 그런데 와는 아무 관련이 없는 제 3자인 가 와 말에 동의하는 다른 네티즌들까지 소송을 거는게 가능한건가요, 로톡  정주섭 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 정주섭 입니다명예훼손으로 손해를 입은 사람만이 손해를 입힌 사람을 상대로 하여 민사상 손해배상 청구소송 등을 진행할 수 있습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
속아서 입금한 돈 받을 수 있을까요 ,상황은 조금 복잡합니다 처음 지인에게 200만원을 빌려주게되었는데그 200을 씨에게 제가 입금을 해줬습니다 그런데 지인에게 직접받겠다고 다시 저에게 보내주겠답니다 그래서 전 제돈아니고 지인돈이라고빌려준거였으니까요 받으시면 된다고 말을 했습니다 그런데 몇시간뒤 씨에게 200이 재입금되더라구요그래서 얘기를 하다가 다시 그럼 보내달랍니다 1일 한도가 있어서 다음날 보내겠다했죠문제는 다음날입니다 지인이 일이있어서 바쁜걸 알았는데요 연락이 잘 안됐습니다씨는 200을 언제쯤 줄 수 있냐며 연락을 취해왔고 전 상황판단을 위해 좀 기다렸는데 지인에게 빨리보내줘라는 문자가 오더라구요 그래서 입금을 해줬는데알고보니 씨가 중간에서 장난을 친거더군요 지인번호로 저한테 대신 연락을 취한겁니다그런 범죄이력이 좀 있다네요그래서 지인은 저한테 방방뛰며 자긴 안그랬다고 보내주면어쩌냐고 그러더라구요일단 전 다시 그분한테 돈을 다시 돌려달라 했습니다알았다며 계좌를 남기라했고 토요일 오전까지 보내주겠다고 확인해 보라했지만 역시 오지않았습니다 연락도 안되죠 당연줄것같진 않네요 대충 알아보니 일단 은행을 통해 아직은 제돈이니 200을 묶어두는걸 할 수 있다하는데 다써버렸다면 횡령죄를 적용할수 있을지 궁금합니다문제는 제가 직접 입금했다는게 좀 걸리구요처음 보낼땐 빌려주는 돈이였겠지만 다시 받고 두번째 보낼땐 제돈인 셈이니까요하지만 씨가 다시 돌려주겠다고 말한내용으로 지킬수 있을까요   관할법원 진행사항1심2심3심 청구금액, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다횡령죄가 성립하기 위해서는 착오로 잘못 송금한 금액을 착오 송금을 받은 자가 알면서 사용한 경우이어야 합니다 사안의 경우에는제가 정확히 이해가 되지는 않았으나 아마도 제3자가 일부러 질문자님을 속여 입금을 받았는 바 사기죄 성립이 문제되는 사안인 것 같습니다 이 점 참고하시어 형사고소를 진행하시길 바라겠습니다 형사 고소를 하신 후 합의를 명목으로 피해금액을 돌려받으실 수도 있습니다그러나 임의로 반환하지 않는 경우 민사소송을 통하여 청구하실 수 있습니다 금액이 그리 크지 않으므로 소액사건이나 지급명령 절차를 이용하시어 반환을 청구하시기 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
임대인이 해야할 의무좀 알고싶습니다,저희가 2017326일날에 입주하였습니다이사를 2018226일날에 한달전에 이사를 갔습니다3월 월세를 납부하고 도시가스 철거하며 3월 전기료도 부담 합니다원룸에 살았는데 처음에 입주할때 방바닥이 울퉁하며 좀 안좋았는데요살다보니 바닥울퉁한부위가 갈라졌습니다장판이 딱딱하고 발로 밣히자 울퉁한부분이 갈라졌습니다집주인이 저희보고 장판 보상해달라고 합니다20만원인데 반반 하자고하는것을 5만원정도는 할수있겠다고하니 무조건 보증금에서 10만원 빼겠다고 하십니다이문제 대체 어떻게 해야합니까장판 오래된것에 이사와서 다니다보니 갈라졌는것을 보상할려니 좀 억울하기도 합니다자세한 답변좀 부탁드립니다, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다민법 제623조에 따르면 임대인은 목적물을 임차인에게 인도하고 계약존속중 그 사용 수익에 필요한 상태를 유지하게 할 의무를 부담합니다 다만 임차인의 고의 과실로 인한 파손인 경우에는 임차인이 부담하셔야 합니다 특별한 사정이 없는 한 건물의 구조 및 노후화 등으로 인해 생긴 파손인 경우에는 임대인이 수리비용을 부담해야 하며 수리해 줄 의무가 있습니다 이 점 참고하시어 대처하시길 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
집행력 있는 공증 집행력 없는 공증,법 공부를 하는 중 집행력 있는 공증을 받으면 재판없이 피고의 재산을 강제 집행할 수 있다는 것을 배웠습니다그러면공증 중 집행력 있는 공증과 집행력 없는 공증이 있나요어떻게 해야 집행력이 있는 공증이 될 수 있으며 무언가가 부족할 때 집행력이 없는 공증이 되는 건가요내공 겁니다 사고일시 사건의 경위 손해의 내용 증거유무 장해율 월 소득액 산재보험가입유무, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다공정증서 작성시 공정증서에 채무자가 강제집행을 수인한다 라는 등의 문구를 기재하여 작성하는 경우 이러한 공정증서로 강제집행을 할 수 있습니다 따라서 강제집행이 가능한 공정증서를 작성하시기 위해서는 채무자가 강제집행을 수인한다 라는 등의 문구를 기재하여 작성하시기 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
소액사기 피해금돌려받을수있나요,15만원 중고나라 사기를당하고 신고하여 검거완료됬는데 피해금을 안돌려주네요법률구조공단에서 송달료등을 지급해준다고하여 방문예약하려하는데 이렇게하면 돌려받을 수 있나요 법무사님 예전답변을 봤는데 사기죄신고내역은 어디서 발급할수있나요 경찰서가서 고소장접수했었습니다, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다피해금을 돌려주지 않을 경우에는 민사소송으로 피해금을 청구하셔야 합니다 금액이 크지 않으시다면 소액사건이나 지급명령 절차 등을 이용하실 수 있습니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
물품대금 미지급 사기죄 성립하나요,16년 12월에 공사를 하였습니다 금액은 6000만원정도 되는 듯 합니다공사완료 후 3개월안으로 대금을 납부 한다고 하였습니다 계약서 명시하지만 3개월 후에도 계속 사업이 잘 안된다는 둥 지금까지도 미지급상태이구요1 장기렌트카를 타고 있다고 하여 그차의 계약기간이 끝이 났다며 보증금 1천만원을 지급한다고 하였으나본인명의가 아니라 조카의 명의라고 조카가 먼저 써서 돈이 없다고 하였습니다현재까지 자동차도 타지 못하고 있다고 저희에게 사정을 봐달라하여 일단은 알겠다고 하였습니다그러나  를 장기렌트 하여 타고 다니는것을 목격하였습니다 그사람은 신용불량자라 ㄷ른사람의 명의 일 듯 합니다2식당을 하다가 장사가 잘 안된다는 이유로 물품대금지급도 완료 되지 않았지만 상가건물주에게 월세납부를 하지 않아 상가건물주에게 저희에게 물품대금지급을 하지 않았던 물건들을 팔아 넘긴 듯 합니다이에 어떻게 해야하나요3마지막으로 사업자는 그사람의 엄마로 되어 있습니다 하지만 연대보증인과 계약자는 그 당ㅇ사자가 맞구요  경찰서에서는사기죄 성립이 되지 않는다고 하고 저희는 어디에다가 물어야할지 너무 모르겟네요답변부탁드립니다 계약내용  식당공사 시공계약  위반내용  공사완료 후 물품대금 지연 및 지속적인 거짓말 관할법원  아직 고소를 하지 않았습니다 요구사항  물품대금을 받는것 해약금 약정여부, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다사기죄가 성립하기 위해서는 가해자의 기망행위 및 기망에 따른 피해자의 처분행위가 요구됩니다 처음부터 상대방이 돈을 지급할 의사 없이 계약을 체결한 것이라면 사기죄가 성립하나 계약 체결한 이후 사정상 금액을 지급하지 못한 경우라면 사기죄가 성립하기 어렵습니다 이 점 참고하시어 형사고소를 하시길 바라겠습니다민사소송으로 금액을 청구하실 수 있습니다 민사소송으로 청구하실 경우 승소 판결문을 가지고 상대방 재산에 대해 강제집행을 하실 수 있습니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
임대차계약 해제와 관련하여 질문드립니다,안녕하세요얼마전 제 소유의 집에 대해서 임차인이 잔금을 지급하지 않아서 계약을 해제했습니다소송을 준비중인데잔금에 대해서 이행기 이후의 법정이자를 청구할 수 있을까요, 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다계약을 해제하신 경우에는 원상회복 의무가 있습니다 따라서 임대인 분이 잔금 이후의 법정이자를 청구하실 수는 없고 오히려 임차인 분이 기 지급한 금액 및 받은 날로부터의 이자를 반환할 의무가 있습니다 다만 임대인이 임차인의 귀책사유로 계약을 해제한 경우에는 계약 해제로 발생한 손해 등을 청구하실 수 있습니다 아무쪼록 일이 잘 해결되기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
금전소비대차공정증서 소멸시효에 관해서,금전소비대차공정증서를 2014년에 작성하였습니다이때 금전소비대차공정증서대한 그 건에 대한 소멸시효가 10년이라고 알고 있습니다근데 만약 중간중간 독촉전화나 내용증명을 보낼 경우 그 당일로 부터 시효가 다시 10년으로 되는건가요아님 원래대로 2014년부터 10년 인가요문의처마다 다른 내용으로 알려주셔서 궁금합니다 , 로톡  서용진 변호사 변호사와 상담하기안녕하세요 로톡네이버 지식 상담 변호사 서용진 입니다내용증명 등으로 채무이행을 청구하신 경우에는 채무이행을 청구한 때에 시효가 중단되고 다시 시효가 새롭게 진행됩니다 이 점 참고하시어 잘 대응하시기를 바라겠습니다질문에 대한 답변은 한정된 정보에 근거하여 드리는 답변이기 때문에 보다 정확한 상담은 구체적인 내용과 상황에 따라 달라질 수 있습니다 답변하신 변호사님과 상담을 원하신다면 지금 로톡 에 방문해보세요 변호사와 상담하기
